Idx,Cell_Type,Researcher_ID,Cell_Count
1,Pack,241,5
2,Pack,233,7
3,Pack,235,3
4,Pack,227,6
5,Pack,196,7
6,Pack,195,9
7,Pack,191,9
8,Pack,184,22
9,Pack,181,25
10,Pack,177,24
11,Pack,177,34
12,Pack,145,34
13,Pack,137,42
14,Pack,135,46
15,Pack,131,44
16,Pack,126,56
17,Pack,122,53
18,Pack,113,61
19,Pack,88,79
20,Pack,84,95
21,Pouch,241,1
22,Pouch,233,5
23,Pouch,235,5
24,Pouch,227,4
25,Pouch,196,8
26,Pouch,195,9
27,Pouch,191,10
28,Pouch,184,10
29,Pouch,181,14
30,Pouch,177,13
31,Pouch,177,25
32,Pouch,145,38
33,Pouch,137,45
34,Pouch,135,43
35,Pouch,131,59
36,Pouch,126,64
37,Pouch,122,76
38,Pouch,113,86
39,Pouch,88,88
40,Pouch,84,109
41,Coin,241,3
42,Coin,233,8
43,Coin,235,8
44,Coin,227,16
45,Coin,196,16
46,Coin,195,25
47,Coin,191,22
48,Coin,184,27
49,Coin,181,38
50,Coin,177,44
51,Coin,177,40
52,Coin,145,54
53,Coin,137,70
54,Coin,135,73
55,Coin,131,98
56,Coin,126,94
57,Coin,122,111
58,Coin,113,115
59,Coin,88,130
60,Coin,84,133
